source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000009,mid_ulster,N09000004,causeway_coast_glens,none,56,6561,8.535284
N09000009,mid_ulster,N09000005,derry_strabane,catholic,84,97298,0.863327
N09000009,mid_ulster,N09000005,derry_strabane,protestant,38,45421,0.836617
N09000009,mid_ulster,N09000005,derry_strabane,other,2,1013,1.974334
N09000009,mid_ulster,N09000005,derry_strabane,none,28,6561,4.267642
N09000009,mid_ulster,N09000006,fermanagh_omagh,catholic,138,97298,1.418323
N09000009,mid_ulster,N09000006,fermanagh_omagh,protestant,65,45421,1.431056
N09000009,mid_ulster,N09000006,fermanagh_omagh,other,6,1013,5.923001
N09000009,mid_ulster,N09000006,fermanagh_omagh,none,31,6561,4.724889
N09000009,mid_ulster,N09000007,lisburn_castlereagh,catholic,46,97298,0.472774
N09000009,mid_ulster,N09000007,lisburn_castlereagh,protestant,14,45421,0.308227
N09000009,mid_ulster,N09000007,lisburn_castlereagh,other,1,1013,0.987167
